temperature,tile_conc,blocker_conc,blocker_mult,growth_rate,nucleation_rate,nucleation_rate_05,nucleation_rate_95
30.4,2.0235896477251556e-07,0.0,0.0,0.9204803723005693,9.635094264424515e-07,9.55801351030912e-07,9.702539924275488e-07
30.4,2.2229964825261958e-07,0.0,0.0,1.0163828474125152,1.1731070293943834e-06,1.1660683872180171e-06,1.1789725645413553e-06
30.4,2.44205309454865e-07,0.0,0.0,1.113153502542327,1.4185030683674062e-06,1.4114105530255692e-06,1.4255955837092433e-06
30.4,2.6826957952797243e-07,0.0,0.0,1.2216336878946819,1.7152389426045311e-06,1.7066627478915085e-06,1.7220998983749491e-06
30.4,2.94705170255181e-07,0.0,0.0,1.3462634473799138,2.057677489637953e-06,2.0453314247001246e-06,2.07002355457578e-06
30.4,3.2374575428176437e-07,0.0,0.0,1.4800118930667516,2.4955074622730604e-06,2.483029924961695e-06,2.5054894921221523e-06
30.4,3.5564803062231287e-07,0.0,0.0,1.5947520900019128,3.0175472370305267e-06,3.0054770480824045e-06,3.0296174259786485e-06
30.4,3.9069399370546133e-07,0.0,0.0,1.7981970211790212,3.637937558312366e-06,3.6197478705208038e-06,3.652489308545615e-06
30.4,4.2919342601287785e-07,0.0,0.0,1.9575105067067935,4.385850422054728e-06,4.355193327604565e-06,4.4077972175666895e-06
30.4,4.71486636345739e-07,0.0,0.0,2.137177256104459,5.308648316480456e-06,5.287413723214534e-06,5.3245742614298975e-06
30.4,5.179474679231214e-07,0.0,0.0,2.372052254014225,6.4192122718557816e-06,6.399954635040215e-06,6.4320506963994934e-06
30.4,5.689866029018294e-07,0.0,0.0,2.5996949741926714,7.754389324114111e-06,7.73112615614177e-06,7.76989810276234e-06
30.4,6.25055192527397e-07,0.0,0.0,2.8524670299381256,9.357939968993085e-06,9.329866149086105e-06,9.376655848931072e-06
30.4,6.866488450042998e-07,0.0,0.0,3.1951935903970723,1.1293093086125481e-05,1.1259213806867105e-05,1.1315679272297733e-05
30.4,7.543120063354616e-07,0.0,0.0,3.4254586219994585,1.3574233071216602e-05,1.3519936138931734e-05,1.3628530003501467e-05
30.4,8.286427728546843e-07,0.0,0.0,3.789590863023325,1.6413916613648613e-05,1.634826094719402e-05,1.646315836348956e-05
30.4,9.102981779915219e-07,0.0,0.0,4.159134325248941,1.9768813666513345e-05,1.968973841184729e-05,1.9847888921179397e-05
30.4,1.0000000000000002e-06,0.0,0.0,4.5615182053622565,2.3952095808383244e-05,2.3880239520958092e-05,2.400000000000001e-05
30.599999999999998,1e-08,0.0,0.0,0.04014047835932021,1.8344946785345276e-09,1.7637230566849324e-09,1.9030367564490382e-09
30.599999999999998,1.0985411419875584e-08,0.0,0.0,0.04450115374679593,2.358620984207637e-09,2.2768550479274684e-09,2.4347278811603963e-09
30.599999999999998,1.206792640639329e-08,0.0,0.0,0.049946067162450626,2.877114642457941e-09,2.7857791880673336e-09,2.964050459171136e-09
30.599999999999998,1.325711365590109e-08,0.0,0.0,0.055248372348217015,3.588192401755464e-09,3.4883858756414568e-09,3.6819845719988832e-09
30.599999999999998,1.4563484775012439e-08,0.0,0.0,0.06116238408677698,4.3721845688411654e-09,4.246359952535321e-09,4.491004158474505e-09
30.599999999999998,1.5998587196060583e-08,0.0,0.0,0.06720249398279572,5.356411664180596e-09,5.228436276699993e-09,5.480155486446495e-09
30.599999999999998,1.7575106248547923e-08,0.0,0.0,0.07483483032959888,6.6155080877018135e-09,6.457627109734077e-09,6.748275262197261e-09
30.599999999999998,1.9306977288832496e-08,0.0,0.0,0.08307500396833459,8.022483812029062e-09,7.838944143780051e-09,8.199789368557422e-09
30.599999999999998,2.1209508879201907e-08,0.0,0.0,0.09069611662611997,9.62785918231591e-09,9.43579301948789e-09,9.81111585399211e-09
30.599999999999998,2.329951810515372e-08,0.0,0.0,0.10071691140533524,1.1904500504253076e-08,1.1679029264702522e-08,1.2119317215852325e-08
30.599999999999998,2.559547922699536e-08,0.0,0.0,0.11209499565310499,1.43685217168195e-08,1.4110534909394004e-08,1.4613217641656935e-08
30.599999999999998,2.811768697974231e-08,0.0,0.0,0.1237861576561085,1.76253861488044e-08,1.7309274848225594e-08,1.7925934233413815e-08
30.599999999999998,3.0888435964774816e-08,0.0,0.0,0.13612586579346742,2.107861661708055e-08,2.0679387618353044e-08,2.1437838401468836e-08
30.599999999999998,3.393221771895328e-08,0.0,0.0,0.1506089040702033,2.581932082536154e-08,2.5381734976013314e-08,2.6233436912079516e-08
30.599999999999998,3.7275937203149396e-08,0.0,0.0,0.16509678172723025,3.136788803632631e-08,3.0867225175378506e-08,3.1807791298147755e-08
30.599999999999998,4.094915062380423e-08,0.0,0.0,0.18250973064012913,3.803186694273968e-08,3.7462758085808525e-08,3.8565225844744665e-08
30.599999999999998,4.4984326689694446e-08,0.0,0.0,0.20060774771315337,4.61633053391934e-08,4.5518126983772836e-08,4.671777279962245e-08
30.599999999999998,4.941713361323834e-08,0.0,0.0,0.22053662829690093,5.618855877981562e-08,5.540377317933793e-08,5.6863945256349e-08
30.599999999999998,5.42867543932386e-08,0.0,0.0,0.24101256009080352,6.846761848736872e-08,6.771570710114044e-08,6.915291088080878e-08
30.599999999999998,5.963623316594644e-08,0.0,0.0,0.2690095147951919,8.215161438821473e-08,8.133009824433258e-08,8.297313053209688e-08
30.599999999999998,6.551285568595509e-08,0.0,0.0,0.292102517338453,9.884694288642968e-08,9.756489803719269e-08,1.0003508313992457e-07
30.599999999999998,7.196856730011521e-08,0.0,0.0,0.32619351330502183,1.205697306513571e-07,1.1948460307549489e-07,1.216548582272193e-07
30.599999999999998,7.906043210907697e-08,0.0,0.0,0.35516766333481203,1.4678399824518128e-07,1.4560972625921983e-07,1.4781148623289755e-07
30.599999999999998,8.685113737513526e-08,0.0,0.0,0.39029906535267356,1.7558643445924052e-07,1.7365814423600913e-07,1.7734387908174303e-07
